ID,Stock Code,UPC Full,Name,Size,Default Qty,unit cost,latest cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Don Not Discount,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No
"5922","8689106800","086891068008","WAIRAU RIVER SAUVIGNON BLANC 750ML","750ML","1","10.38","10.00","13.99","","","","","Tax","WINE NEW ZEALAND","WINE","FEDW","7.00","7.00","25.80","0","0","D","0","general",,"21005","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5923","8689107792","86891077925","WAIRAU RIVER PINOT NOIR 750ML","750ML","1","17.66","17.66","18.99","","","","","Tax","WINE NEW ZEALAND","WINE","FEDW","6.00","6.00","7.00","0","0","D","0","general",,"21006","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5924","4918890048","649188900483","GRAND MARNIER CORDON ROUGE 1.0LT","1.0LT","1","42.81","42.81","45.99","","","","","Tax","SPECIALTIES & APERITIFS","CORDIALS","ALLIED","1.00","1.00","6.91","0","0","D","0","general",,"21007","6","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5925","4499613899","644996138998","WOLFFER DRY RED CIDER 12OZ","12OZ","1","10.00","10.00","12.99","","","","","Tax","MICRO BREWS","BEER","HBHB","2.00","2.00","23.02","6.0","3","B","0","general",,"21008","6","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5926","4499613687","644996136871","WOLFFER DRY WHITE CIDER 12OZ","12OZ","1","10.35","10.58","12.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","7.00","7.00","20.32","6.0","1","B","0","general",,"21009","6","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5927","8624300031","786243000310","FLYING DOG KILLER TEA 20OZ","20OZ","1","2.3","2.3","2.49","","","","","Tax","MICRO BREWS","BEER","HBHB","0.00","0.00","7.63","12.0","7","D","0","general",,"21011","12","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5928","3604001285","736040012856","HPNOTIQ LIQUEUR 375ML","375ML","1","11.29","11.29","14.99","","","","","Tax","SPECIALTIES & APERITIFS","CORDIALS","ALLIED","1.00","1.00","24.68","12.0","1","B","0","general",,"21013","12","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5929","7652900053","876529000537","ROGUE DEAD GUY 20OZ","20OZ","1","2.3","2.3","2.99","","","","","Tax","MICRO BREWS","BEER","HBHB","5.00","5.00","23.08","2","2","C","0","general",,"21012","12","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5930","9743501032","097435010322","DANOS REPOSADO 750ML","750ML","1","18.33","18.33","44.99","","","","","Tax","TEQUILA","LIQUOR","ALLIED","0.00","0.00","59.26","0","0","D","0","general",,"21014","6","",,0,,"0","0",Inventory Item,"",,,"0","0",1,,,
"5931","9743501110","097435011107","DANOS ANEJO 750ML","750ML","1","20","20","49.99","","","","","Tax","TEQUILA","LIQUOR","ALLIED","2.00","2.00","59.99","0","0","D","0","general",,"21015","6","",,0,,"0","0",Inventory Item,"",,,"0","0",1,,,
"5932","5535200894","855352008941","ATHLETIC BREWING LITE 6PK 12OZ","12OZ","1","8.44","8.20","10.99","","","","","Tax","NON-ALCO BEER","NON ALC","SPSP","9.00","9.00","23.20","1","1","C","0","general",,"21017","4","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5933","3354400184","033544001844","CORONA NON ALCOHOLIC 6PK 12OZ","12OZ","1","7.88","7.88","9.99","","","","","Tax","IMPORT BEER","BEER","SPSP","7.00","7.00","21.12","4.0","2","B","0","general",,"21018","4","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5934","3598580161","635985801610","WHITE CLAW HARD BLACKBERRY 6-PACK 12OZ","12OZ","1","8.29","8.29","10.99","2","16.58","16.58","20","Tax","DOMESTIC BEER","BEER","SPSP","19.00","19.00","24.57","0","0","D","0","general",,"21020","4","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5935","3848900607","638489006079","DOGFISH HEAD CITRUS SQUALL 6PK CAN 12OZ","12OZ","1","8.50","1.42","10.99","","","","","Tax","MICRO BREWS","BEER","SPSP","1.00","1.00","22.66","0","0","D","0","general",,"21019","4","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5936","3598580157","635985801573","WHITE CLAW HARD PEACH 6-PACK 12OZ","12OZ","1","8.29","8.29","10.99","","","","","Tax","DOMESTIC BEER","BEER","SPSP","2.00","2.00","24.57","8.0","5","A","0","general",,"21021","4","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5937","3027978606","630279786062","VICTORY MOTEL PALOMA 6PK 12OZ","12OZ","1","8.60","8.50","11.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","1.00","1.00","28.27","0","0","D","0","general",,"21022","4","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5938","8175383149","81753831493","GLENMORANGIE NECTAR 750ML","750ML","1","75.09","74.09","79.99","","","","","Tax","SCOTCH","LIQUOR","ALLIED","7.00","7.00","6.13","0","0","D","0","general",,"21023","6","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5940","2840035614","028400356145","CHEETOS CRUNCHY REG 2.7oz","","1","1.55","1.55","2.99","","","","","NoTax","SNACKS/MERCH. NON-TAX","GROCERY","LJZ","10.00","10.00","48.16","32.0","7","B","0","general",,"21025","32","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5941","2840035678","028400356787","DORITOS COOL RANCH 2.5oz","","1","1.55","1.55","2.99","","","","","NoTax","SNACKS/MERCH. NON-TAX","GROCERY","LJZ","25.00","25.00","48.16","24.0","6","B","0","general",,"21026","24","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5942","2840035775","028400357753","SMART FOODS CHEDDAR POPCORN 1.75z","null","1","1.55","1.55","2.99","","","","","Tax","SNACKS/MERCH. TAX","GROCERY","LJZ","4.00","4.00","48.16","24.0","6","B","0","general",,"21030","24","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5943","2840035701","028400357012","DORITOS NACHO 2.5oz","","1","1.55","1.55","2.99","","","","","NoTax","SNACKS/MERCH. NON-TAX","GROCERY","LJZ","21.00","21.00","48.16","24.0","9","B","0","general",,"21027","24","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5944","2840035559","028400355599","LAYS BBQ 2.5OZ","","1","1.54","1.55","2.99","","","","","NoTax","SNACKS/MERCH. NON-TAX","GROCERY","LJZ","9.00","9.00","48.49","2","2","C","0","general",,"21029","24","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5945","2840035560","028400355605","LAYS CLASSIC CH 2.5OZ","","1","1.55","1.55","2.99","","","","","NoTax","SNACKS/MERCH. NON-TAX","GROCERY","LJZ","20.00","20.00","48.16","24.0","10","B","0","general",,"21028","24","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5946","5675689577","756756895772","SOURLAND BOURBON WHISKEY 750ML","750ML","1","35.00","35","42.99","","","","","Tax","BOURBON","LIQUOR","DSD","2.00","2.00","18.59","6.0","1","B","0","general",,"21031","6","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5947","5793200700","857932007009","MR. BLACK COFFEE LIQUER 750ML","750ML","1","25.00","25","29.99","","","","","Tax","SPECIALTIES & APERITIFS","CORDIALS","FEDW","2.00","2.00","16.64","6.0","1","B","0","general",,"21032","6","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5948","8130859207","081308592077","CUPCAKE CHARDONNAY 750ML","750ML","1","8.09","8.09","10.99","","","","","Tax","WINE MERLOT","WINE","ALLIED","2.00","2.00","26.39","12.0","3","B","0","general",,"21034","12","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5949","9388846407","793888464070","FORGOTTEN MADAME MARIE 16OZ","16OZ","1","2.75","2.75","2.99","4","11.00","11.00","11.","Tax","MICRO BREWS","BEER","FBB","66.00","66.00","8.03","0","0","D","0","general",,"21035","24","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5950","8130800443","081308004433","IMAGERY PINOT NOIR 750ML","750ML","1","13.33","13.83","13.98","","","","","Tax","WINE PINOT NOIR","WINE","ALLIED","14.00","14.00","4.65","0","0","D","0","general",,"21033","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5951","4286013110","642860131106","FOUNDERS 4 GIANTS TROPICAL 20OZ CAN","20OZ","1","2.3","2.3","2.99","","","","","Tax","MICRO BREWS","BEER","HBHB","1.00","1.00","23.08","0","0","D","0","general",,"21037","15","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5952","8624357181","786243571810","FLYING DOG THE TRUTH 20OZ","20OZ","1","2.22","2.22","3.99","","","","","Tax","MICRO BREWS","BEER","HBHB","3.00","3.00","44.36","0","0","D","0","general",,"21036","12","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5953","3770407501","637704075012","TROEGS PERPETUAL IPA 19OZ","20OZ","1","2.30","2.30","2.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","8.00","8.00","23.08","12.0","8","B","0","general",,"21038","12","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5954","3625174614","636251746147","STONE DOUBLE DELICIOUS IPA 6-PACK CANS 12OZ","12OZ","1","9.25","1.54","11.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","0.00","0.00","22.85","0","0","D","0","general",,"21039","4","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5955","3770407301","637704073018","TROEGS PERPETUAL IPA 12PK CANS 12OZ","12OZ","1","17.60","17.60","20.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","6.00","6.00","16.15","0","0","D","0","general",,"21040","2","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5956","1087902542","810879025420","PURPLE BIRD CABERNET 750ML","750ML","1","5.33","5.33","9.99","","","","","Tax","WINE CABERNET","WINE","LATTI","11.00","11.00","46.65","0","0","D","0","general",,"21042","12","",,,,"0","0",Inventory Item,"",,,"0","0",1,,,
"5957","3770400454","637704004548","TROEGS CANTHOLOGY 12PK CAN 12OZ","12OZ","1","17.60","17.60","20.99","","","","","Tax","MICRO BREWS","BEER","HIGRADE","3.00","3.00","16.15","0","0","D","0","general",,"21041","2","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5958","8224201307","082242013079","DIORA PINOT NOIR 750ML","750ML","1","17.09","17.09","19.99","","","","","Tax","WINE PINOT NOIR","WINE","FEDW","8.00","8.00","14.51","0","0","D","0","general",,"21044","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5959","1007878077","810078780779","SIMPLY PEACH VARIETY 12PK 12OZ","12OZ","1","16.00","1.33","19.99","","","","","Tax","MICRO BREWS","BEER","SPSP","0.00","0.00","19.96","0","0","D","0","general",,"21045","2","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5960","1007878020","810078780205","SIMPLY LEMONADE VARIETY 12PK 12OZ","12OZ","1","16.00","1.33","19.99","","","","","Tax","MICRO BREWS","BEER","SPSP","0.00","0.00","19.96","2.0","1","D","0","general",,"21046","2","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
